Timestamp,"Learning Styles (VARK)
If you are unsure about your learning style, please take a moment to assess it at here","Personality (MBTI)
If you are unsure about your MBTI, please take a moment to assess it at here",Column 4,Country
2/23/2025,V,ENTP,,Malaysia
3/14/2025,A,ENTJ,,Malaysia
3/11/2025,K,ISTP,,Malaysia
2/24/2025,"A, K",ESFJ,,Malaysia
3/2/2025,K,ENTJ,,Malaysia
2/21/2025,R,INTP,,Malaysia
3/13/2025,V,ISTP,,Malaysia
2/27/2025,A,ISFJ,,Malaysia
3/11/2025,K,ESTP,,Malaysia
3/4/2025,K,ISTJ,,Malaysia
3/11/2025,R,ISTP,,Malaysia
2/27/2025,A,INTJ,,Indonesia
2/19/2025,R,ISTJ,,Malaysia
3/18/2025,A,ISTJ,,Japan
2/18/2025,V,INTP,,Indonesia
3/14/2025,R,ISFP,,Malaysia
3/8/2025,R,INFP,,Malaysia
3/18/2025,K,ENTP,,Malaysia
2/25/2025,A,ENTP,,Malaysia
2/21/2025,V,ISTJ,,Malaysia
2/21/2025,K,ISFP,,Malaysia
3/18/2025,A,INFJ,,Malaysia
3/19/2025,R,INTJ,,Malaysia
2/28/2025,A,ISFP,,Malaysia
3/8/2025,K,ISTJ,,Malaysia
2/20/2025,A,ENFJ,,Malaysia
3/14/2025,R,ESFP,,Malaysia
2/25/2025,R,INTP,,Malaysia
3/9/2025,K,ISTP,,Malaysia
2/25/2025,A,ISFP,,Malaysia
3/5/2025,K,INFP,,Malaysia
2/26/2025,A,INTJ,,Malaysia
2/26/2025,V,ESFP,,Malaysia
3/2/2025,"A, R",ESTJ,,China
3/17/2025,K,ESTP,,Malaysia
3/5/2025,A,ENTJ,,Malaysia
3/15/2025,R,ISFP,,Malaysia
3/1/2025,"R, K",ISTJ,,Malaysia
2/20/2025,V,ISFJ,,Malaysia
3/18/2025,V,ESTP,,Malaysia
2/19/2025,K,INFJ,,Malaysia
2/22/2025,V,INFP,,Malaysia
3/13/2025,A,ESFJ,,China
2/27/2025,"A, K",ENFJ,,Malaysia
3/14/2025,R,ESFP,,Malaysia
3/9/2025,R,ESFP,,Malaysia
3/1/2025,K,ENTP,,Malaysia
2/26/2025,K,ENTP,,Malaysia
3/16/2025,R,ESTP,,Indonesia
3/7/2025,R,INTJ,,Malaysia
3/12/2025,K,ESFJ,,Malaysia
2/26/2025,"V, K",ENTJ,,Malaysia
3/7/2025,A,ENFJ,,Malaysia
3/17/2025,A,ESTP,,Malaysia
3/14/2025,"V, K",INFJ,,Malaysia
2/24/2025,A,INTP,,Malaysia
2/28/2025,"V, K",ESTP,,Malaysia
3/17/2025,R,INTJ,,Malaysia
2/28/2025,A,INFJ,,Malaysia
3/2/2025,V,ESTJ,,Malaysia
2/22/2025,R,ISFP,,Malaysia
3/7/2025,V,INFJ,,Malaysia
2/21/2025,R,ISFJ,,Malaysia
3/5/2025,V,INFJ,,China
3/13/2025,V,ISFJ,,Malaysia
2/27/2025,R,ENTP,,Malaysia
3/8/2025,A,ENTJ,,Malaysia
2/22/2025,A,ENTJ,,Malaysia
3/19/2025,K,ENFP,,Malaysia
3/13/2025,V,ENFP,,Malaysia
3/17/2025,R,ISTJ,,Malaysia
3/13/2025,R,ESTP,,Malaysia
3/5/2025,A,ENTJ,,Malaysia
3/5/2025,V,INTJ,,Malaysia
3/8/2025,R,INTP,,Malaysia
2/23/2025,A,ESTJ,,Malaysia
3/5/2025,V,INTP,,Malaysia
2/22/2025,R,INTP,,Malaysia
3/3/2025,R,INFJ,,Malaysia
3/11/2025,A,ESFP,,Malaysia
3/17/2025,V,INFP,,Malaysia
3/13/2025,R,ENFJ,,Indonesia
3/3/2025,K,ISTP,,Malaysia
3/8/2025,V,ENTJ,,Malaysia
3/13/2025,K,INTJ,,Malaysia
3/1/2025,V,ISTP,,Malaysia
3/1/2025,R,ENFJ,,Malaysia
3/18/2025,"V, A",ESFJ,,Malaysia
3/1/2025,K,ISTP,,Japan
2/19/2025,R,ESTP,,Malaysia
3/1/2025,V,ISTJ,,Malaysia
3/1/2025,R,ISFJ,,Malaysia
3/2/2025,V,ENFP,,Malaysia
3/7/2025,A,ESTJ,,Malaysia
3/3/2025,R,ISTJ,,Indonesia
2/20/2025,K,ENTJ,,Malaysia
2/25/2025,K,ENFJ,,Malaysia
3/8/2025,R,INFJ,,Malaysia
3/1/2025,R,ISFJ,,Malaysia
3/1/2025,A,INFJ,,Malaysia
3/9/2025,A,INFP,,Malaysia
3/10/2025,A,INTJ,,Malaysia
3/4/2025,A,ISFP,,Malaysia
3/15/2025,K,ENFP,,Malaysia
3/10/2025,K,INTJ,,Malaysia
2/20/2025,V,INTP,,Malaysia
2/19/2025,R,INTP,,Malaysia
